image_path,caption
datasets/midjourney/000007_0.jpg,A man in a wooden table
datasets/midjourney/000007_1.jpg,A man in a wooden table
datasets/midjourney/000007_2.jpg,A man in a wooden table
datasets/midjourney/000007_3.jpg,A man in a wooden table
datasets/midjourney/000001_0.jpg,"A baby is chewing on a lawn chair, while a dog A man in a park bench"
datasets/midjourney/000001_1.jpg,"A baby is chewing on a lawn chair, while a dog A man in a park bench"
datasets/midjourney/000001_2.jpg,"A baby is chewing on a lawn chair, while a dog A man in a park bench"
datasets/midjourney/000001_3.jpg,"A baby is chewing on a lawn chair, while a dog A man in a park bench"
datasets/midjourney/000012_0.jpg,A elegant sofa and chairs
datasets/midjourney/000012_1.jpg,A elegant sofa and chairs
datasets/midjourney/000012_2.jpg,A elegant sofa and chairs
datasets/midjourney/000012_3.jpg,A elegant sofa and chairs
datasets/midjourney/000004_0.jpg,A woman with an umbrella
datasets/midjourney/000004_1.jpg,A woman with an umbrella
datasets/midjourney/000004_2.jpg,A woman with an umbrella
datasets/midjourney/000004_3.jpg,A woman with an umbrella
datasets/midjourney/000005_0.jpg,Small baby leaning up against a bar smiling for the pitch
datasets/midjourney/000005_1.jpg,Small baby leaning up against a bar smiling for the pitch
datasets/midjourney/000005_2.jpg,Small baby leaning up against a bar smiling for the pitch
datasets/midjourney/000005_3.jpg,Small baby leaning up against a bar smiling for the pitch
datasets/midjourney/000002_0.jpg,That city skyline with a blow dryer a cord on it
datasets/midjourney/000002_1.jpg,That city skyline with a blow dryer a cord on it
datasets/midjourney/000002_2.jpg,That city skyline with a blow dryer a cord on it
datasets/midjourney/000002_3.jpg,That city skyline with a blow dryer a cord on it
datasets/midjourney/000000_0.jpg,A young child is sitting on some pita bread next to some trees
datasets/midjourney/000000_1.jpg,A young child is sitting on some pita bread next to some trees
datasets/midjourney/000000_2.jpg,A young child is sitting on some pita bread next to some trees
datasets/midjourney/000000_3.jpg,A young child is sitting on some pita bread next to some trees
datasets/midjourney/000016_0.jpg,There is a male skateboarder in mid air
datasets/midjourney/000016_1.jpg,There is a male skateboarder in mid air
datasets/midjourney/000016_2.jpg,There is a male skateboarder in mid air
datasets/midjourney/000016_3.jpg,There is a male skateboarder in mid air
datasets/midjourney/000009_0.jpg,A skateboarder airborne with trees and two couches
datasets/midjourney/000009_1.jpg,A skateboarder airborne with trees and two couches
datasets/midjourney/000009_2.jpg,A skateboarder airborne with trees and two couches
datasets/midjourney/000009_3.jpg,A skateboarder airborne with trees and two couches
datasets/midjourney/000018_0.jpg,A grandfather clock in the air to catch it
datasets/midjourney/000018_1.jpg,A grandfather clock in the air to catch it
datasets/midjourney/000018_2.jpg,A grandfather clock in the air to catch it
datasets/midjourney/000018_3.jpg,A grandfather clock in the air to catch it
datasets/midjourney/000015_0.jpg,A person hugging an elephant that is sitting on the table
datasets/midjourney/000015_1.jpg,A person hugging an elephant that is sitting on the table
datasets/midjourney/000015_2.jpg,A person hugging an elephant that is sitting on the table
datasets/midjourney/000015_3.jpg,A person hugging an elephant that is sitting on the table
datasets/midjourney/000008_0.jpg,A slice of pizza
datasets/midjourney/000008_1.jpg,A slice of pizza
datasets/midjourney/000008_2.jpg,A slice of pizza
datasets/midjourney/000008_3.jpg,A slice of pizza
datasets/midjourney/000019_0.jpg,Four people on their skate boards
datasets/midjourney/000019_1.jpg,Four people on their skate boards
datasets/midjourney/000019_2.jpg,Four people on their skate boards
datasets/midjourney/000019_3.jpg,Four people on their skate boards
datasets/midjourney/000014_0.jpg,A white bathtub A black and white buses are pulled back
datasets/midjourney/000014_1.jpg,A white bathtub A black and white buses are pulled back
datasets/midjourney/000014_2.jpg,A white bathtub A black and white buses are pulled back
datasets/midjourney/000014_3.jpg,A white bathtub A black and white buses are pulled back
datasets/midjourney/000021_0.jpg,A bunch of bushes
datasets/midjourney/000021_1.jpg,A bunch of bushes
datasets/midjourney/000021_2.jpg,A bunch of bushes
datasets/midjourney/000021_3.jpg,A bunch of bushes
datasets/midjourney/000006_0.jpg,A young man riding a skateboard being towed by a road
datasets/midjourney/000006_1.jpg,A young man riding a skateboard being towed by a road
datasets/midjourney/000006_2.jpg,A young man riding a skateboard being towed by a road
datasets/midjourney/000006_3.jpg,A young man riding a skateboard being towed by a road
datasets/midjourney/000023_0.jpg,Two giraffe standing in the winter
datasets/midjourney/000023_1.jpg,Two giraffe standing in the winter
datasets/midjourney/000023_2.jpg,Two giraffe standing in the winter
datasets/midjourney/000023_3.jpg,Two giraffe standing in the winter
datasets/midjourney/000025_0.jpg,"A bedroom with flower and some shrimp and sauce, and broccoli on it"
datasets/midjourney/000025_1.jpg,"A bedroom with flower and some shrimp and sauce, and broccoli on it"
datasets/midjourney/000025_2.jpg,"A bedroom with flower and some shrimp and sauce, and broccoli on it"
datasets/midjourney/000025_3.jpg,"A bedroom with flower and some shrimp and sauce, and broccoli on it"
datasets/midjourney/000026_0.jpg,Three small light brown bear growls on top of a motorcycle as part of it
datasets/midjourney/000026_1.jpg,Three small light brown bear growls on top of a motorcycle as part of it
datasets/midjourney/000026_2.jpg,Three small light brown bear growls on top of a motorcycle as part of it
datasets/midjourney/000026_3.jpg,Three small light brown bear growls on top of a motorcycle as part of it
datasets/midjourney/000024_0.jpg,A smiling man holding a phone in front of a living room
datasets/midjourney/000024_1.jpg,A smiling man holding a phone in front of a living room
datasets/midjourney/000024_2.jpg,A smiling man holding a phone in front of a living room
datasets/midjourney/000024_3.jpg,A smiling man holding a phone in front of a living room
datasets/midjourney/000011_0.jpg,A pizza of some pizza in front of a red bus
datasets/midjourney/000011_1.jpg,A pizza of some pizza in front of a red bus
datasets/midjourney/000011_2.jpg,A pizza of some pizza in front of a red bus
datasets/midjourney/000011_3.jpg,A pizza of some pizza in front of a red bus
datasets/midjourney/000027_0.jpg,Large number of people stand on the snow
datasets/midjourney/000027_1.jpg,Large number of people stand on the snow
datasets/midjourney/000027_2.jpg,Large number of people stand on the snow
datasets/midjourney/000027_3.jpg,Large number of people stand on the snow
datasets/midjourney/000029_0.jpg,A laptop computer and a bull decoration are on some rocks
datasets/midjourney/000029_1.jpg,A laptop computer and a bull decoration are on some rocks
datasets/midjourney/000029_2.jpg,A laptop computer and a bull decoration are on some rocks
datasets/midjourney/000029_3.jpg,A laptop computer and a bull decoration are on some rocks
datasets/midjourney/000031_0.jpg,A baby horse on a elevated track on motorcycles
datasets/midjourney/000031_1.jpg,A baby horse on a elevated track on motorcycles
datasets/midjourney/000031_2.jpg,A baby horse on a elevated track on motorcycles
datasets/midjourney/000031_3.jpg,A baby horse on a elevated track on motorcycles
datasets/midjourney/000010_0.jpg,There are two females in bikinis at a skate-park doing a trick on a skateboard
datasets/midjourney/000010_1.jpg,There are two females in bikinis at a skate-park doing a trick on a skateboard
datasets/midjourney/000010_2.jpg,There are two females in bikinis at a skate-park doing a trick on a skateboard
datasets/midjourney/000010_3.jpg,There are two females in bikinis at a skate-park doing a trick on a skateboard
datasets/midjourney/000017_0.jpg,A lady holding her umbrella open
datasets/midjourney/000017_1.jpg,A lady holding her umbrella open
datasets/midjourney/000017_2.jpg,A lady holding her umbrella open
datasets/midjourney/000017_3.jpg,A lady holding her umbrella open
datasets/midjourney/000030_0.jpg,Two horse drawn carriage
datasets/midjourney/000030_1.jpg,Two horse drawn carriage
datasets/midjourney/000030_2.jpg,Two horse drawn carriage
datasets/midjourney/000030_3.jpg,Two horse drawn carriage
datasets/midjourney/000033_0.jpg,A close up of a horse on the edge of a cement riverbed
datasets/midjourney/000033_1.jpg,A close up of a horse on the edge of a cement riverbed
datasets/midjourney/000033_2.jpg,A close up of a horse on the edge of a cement riverbed
datasets/midjourney/000033_3.jpg,A close up of a horse on the edge of a cement riverbed
datasets/midjourney/000036_0.jpg,A train is stopped at a station
datasets/midjourney/000036_1.jpg,A train is stopped at a station
datasets/midjourney/000036_2.jpg,A train is stopped at a station
datasets/midjourney/000036_3.jpg,A train is stopped at a station
datasets/midjourney/000040_0.jpg,A laptop computer keyboard. a red jacket posing for a dog on a city center
datasets/midjourney/000040_1.jpg,A laptop computer keyboard. a red jacket posing for a dog on a city center
datasets/midjourney/000040_2.jpg,A laptop computer keyboard. a red jacket posing for a dog on a city center
datasets/midjourney/000040_3.jpg,A laptop computer keyboard. a red jacket posing for a dog on a city center
datasets/midjourney/000041_0.jpg,A woman sits at a pizza on top of the back of an open area near the mud
datasets/midjourney/000041_1.jpg,A woman sits at a pizza on top of the back of an open area near the mud
datasets/midjourney/000041_2.jpg,A woman sits at a pizza on top of the back of an open area near the mud
datasets/midjourney/000041_3.jpg,A woman sits at a pizza on top of the back of an open area near the mud
datasets/midjourney/000034_0.jpg,An adult sheep on this field flying kites
datasets/midjourney/000034_1.jpg,An adult sheep on this field flying kites
datasets/midjourney/000034_2.jpg,An adult sheep on this field flying kites
datasets/midjourney/000034_3.jpg,An adult sheep on this field flying kites
datasets/midjourney/000035_0.jpg,Several elephants walking across the street in a lifejacket holds a remote
datasets/midjourney/000035_1.jpg,Several elephants walking across the street in a lifejacket holds a remote
datasets/midjourney/000035_2.jpg,Several elephants walking across the street in a lifejacket holds a remote
datasets/midjourney/000035_3.jpg,Several elephants walking across the street in a lifejacket holds a remote
datasets/midjourney/000032_0.jpg,Three elderly men sit on a skateboard in his hand
datasets/midjourney/000032_1.jpg,Three elderly men sit on a skateboard in his hand
datasets/midjourney/000032_2.jpg,Three elderly men sit on a skateboard in his hand
datasets/midjourney/000032_3.jpg,Three elderly men sit on a skateboard in his hand
datasets/midjourney/000038_0.jpg,"Green, red and yellow umbrella"
datasets/midjourney/000038_1.jpg,"Green, red and yellow umbrella"
datasets/midjourney/000038_2.jpg,"Green, red and yellow umbrella"
datasets/midjourney/000038_3.jpg,"Green, red and yellow umbrella"
datasets/midjourney/000044_0.jpg,A concrete bench between two rows of chairs
datasets/midjourney/000044_1.jpg,A concrete bench between two rows of chairs
datasets/midjourney/000044_2.jpg,A concrete bench between two rows of chairs
datasets/midjourney/000044_3.jpg,A concrete bench between two rows of chairs
datasets/midjourney/000020_0.jpg,A recording studio a white wall
datasets/midjourney/000020_1.jpg,A recording studio a white wall
datasets/midjourney/000020_2.jpg,A recording studio a white wall
datasets/midjourney/000020_3.jpg,A recording studio a white wall
datasets/midjourney/000047_0.jpg,A blurry person in a tennis ball
datasets/midjourney/000047_1.jpg,A blurry person in a tennis ball
datasets/midjourney/000047_2.jpg,A blurry person in a tennis ball
datasets/midjourney/000047_3.jpg,A blurry person in a tennis ball
datasets/midjourney/000048_0.jpg,The woman wearing skis at the airport
datasets/midjourney/000048_1.jpg,The woman wearing skis at the airport
datasets/midjourney/000048_2.jpg,The woman wearing skis at the airport
datasets/midjourney/000048_3.jpg,The woman wearing skis at the airport
datasets/midjourney/000051_0.jpg,A woman riding a horse carriage on a table
datasets/midjourney/000051_1.jpg,A woman riding a horse carriage on a table
datasets/midjourney/000051_2.jpg,A woman riding a horse carriage on a table
datasets/midjourney/000051_3.jpg,A woman riding a horse carriage on a table
datasets/midjourney/000052_0.jpg,A backpack that has stainless steel oven
datasets/midjourney/000052_1.jpg,A backpack that has stainless steel oven
datasets/midjourney/000052_2.jpg,A backpack that has stainless steel oven
datasets/midjourney/000052_3.jpg,A backpack that has stainless steel oven
datasets/midjourney/000053_0.jpg,A computer montior on desk next to a lot of pillows
datasets/midjourney/000053_1.jpg,A computer montior on desk next to a lot of pillows
datasets/midjourney/000053_2.jpg,A computer montior on desk next to a lot of pillows
datasets/midjourney/000053_3.jpg,A computer montior on desk next to a lot of pillows
datasets/midjourney/000046_0.jpg,An analog alarm clock perched on a scratching board near some shacks
datasets/midjourney/000046_1.jpg,An analog alarm clock perched on a scratching board near some shacks
datasets/midjourney/000046_2.jpg,An analog alarm clock perched on a scratching board near some shacks
datasets/midjourney/000046_3.jpg,An analog alarm clock perched on a scratching board near some shacks
datasets/midjourney/000049_0.jpg,An airport landing strip
datasets/midjourney/000049_1.jpg,An airport landing strip
datasets/midjourney/000049_2.jpg,An airport landing strip
datasets/midjourney/000049_3.jpg,An airport landing strip
datasets/midjourney/000037_0.jpg,A metal bunk bed and some lights on
datasets/midjourney/000037_1.jpg,A metal bunk bed and some lights on
datasets/midjourney/000037_2.jpg,A metal bunk bed and some lights on
datasets/midjourney/000037_3.jpg,A metal bunk bed and some lights on
datasets/midjourney/000003_0.jpg,A woman smiles as he looks upward
datasets/midjourney/000003_1.jpg,A woman smiles as he looks upward
datasets/midjourney/000003_2.jpg,A woman smiles as he looks upward
datasets/midjourney/000003_3.jpg,A woman smiles as he looks upward
datasets/midjourney/000050_0.jpg,Man running and some black birds that are standing in a park bench
datasets/midjourney/000050_1.jpg,Man running and some black birds that are standing in a park bench
datasets/midjourney/000050_2.jpg,Man running and some black birds that are standing in a park bench
datasets/midjourney/000050_3.jpg,Man running and some black birds that are standing in a park bench
datasets/midjourney/000042_0.jpg,Group of people ski on the front of a field
datasets/midjourney/000042_1.jpg,Group of people ski on the front of a field
datasets/midjourney/000042_2.jpg,Group of people ski on the front of a field
datasets/midjourney/000042_3.jpg,Group of people ski on the front of a field
datasets/midjourney/000043_0.jpg,A man flying a kite
datasets/midjourney/000043_1.jpg,A man flying a kite
datasets/midjourney/000043_2.jpg,A man flying a kite
datasets/midjourney/000043_3.jpg,A man flying a kite
datasets/midjourney/000039_0.jpg,Two men on a wooden bench
datasets/midjourney/000039_1.jpg,Two men on a wooden bench
datasets/midjourney/000039_2.jpg,Two men on a wooden bench
datasets/midjourney/000039_3.jpg,Two men on a wooden bench
datasets/midjourney/000045_0.jpg,Some food that has two street signs hang on the street
datasets/midjourney/000045_1.jpg,Some food that has two street signs hang on the street
datasets/midjourney/000045_2.jpg,Some food that has two street signs hang on the street
datasets/midjourney/000045_3.jpg,Some food that has two street signs hang on the street
datasets/midjourney/000056_0.jpg,People wearing helmets are riding a skateboard down a snow storm
datasets/midjourney/000056_1.jpg,People wearing helmets are riding a skateboard down a snow storm
datasets/midjourney/000056_2.jpg,People wearing helmets are riding a skateboard down a snow storm
datasets/midjourney/000056_3.jpg,People wearing helmets are riding a skateboard down a snow storm
datasets/midjourney/000059_0.jpg,A crowd of people on their skis
datasets/midjourney/000059_1.jpg,A crowd of people on their skis
datasets/midjourney/000059_2.jpg,A crowd of people on their skis
datasets/midjourney/000059_3.jpg,A crowd of people on their skis
datasets/midjourney/000058_0.jpg,People fly kites A crowd looks on
datasets/midjourney/000058_1.jpg,People fly kites A crowd looks on
datasets/midjourney/000058_2.jpg,People fly kites A crowd looks on
datasets/midjourney/000058_3.jpg,People fly kites A crowd looks on
datasets/midjourney/000063_0.jpg,A person using a dell laptop
datasets/midjourney/000063_1.jpg,A person using a dell laptop
datasets/midjourney/000063_2.jpg,A person using a dell laptop
datasets/midjourney/000063_3.jpg,A person using a dell laptop
datasets/midjourney/000054_0.jpg,A large pizza with smiley faces
datasets/midjourney/000054_1.jpg,A large pizza with smiley faces
datasets/midjourney/000054_2.jpg,A large pizza with smiley faces
datasets/midjourney/000054_3.jpg,A large pizza with smiley faces
datasets/midjourney/000057_0.jpg,A picture framed and on a snow covered ski slope
datasets/midjourney/000057_1.jpg,A picture framed and on a snow covered ski slope
datasets/midjourney/000057_2.jpg,A picture framed and on a snow covered ski slope
datasets/midjourney/000057_3.jpg,A picture framed and on a snow covered ski slope
datasets/midjourney/000062_0.jpg,The action at home plate during a competitive baseball game as others watch
datasets/midjourney/000062_1.jpg,The action at home plate during a competitive baseball game as others watch
datasets/midjourney/000062_2.jpg,The action at home plate during a competitive baseball game as others watch
datasets/midjourney/000062_3.jpg,The action at home plate during a competitive baseball game as others watch
datasets/midjourney/000069_0.jpg,Cars parked on a table
datasets/midjourney/000069_1.jpg,Cars parked on a table
datasets/midjourney/000069_2.jpg,Cars parked on a table
datasets/midjourney/000069_3.jpg,Cars parked on a table
datasets/midjourney/000060_0.jpg,A group of elephants walking near a river
datasets/midjourney/000060_1.jpg,A group of elephants walking near a river
datasets/midjourney/000060_2.jpg,A group of elephants walking near a river
datasets/midjourney/000060_3.jpg,A group of elephants walking near a river
datasets/midjourney/000068_0.jpg,A boy smiling for the pitch
datasets/midjourney/000068_1.jpg,A boy smiling for the pitch
datasets/midjourney/000068_2.jpg,A boy smiling for the pitch
datasets/midjourney/000068_3.jpg,A boy smiling for the pitch
datasets/midjourney/000055_0.jpg,A old fashinoned bus moving on the waves
datasets/midjourney/000055_1.jpg,A old fashinoned bus moving on the waves
datasets/midjourney/000055_2.jpg,A old fashinoned bus moving on the waves
datasets/midjourney/000055_3.jpg,A old fashinoned bus moving on the waves
datasets/midjourney/000066_0.jpg,A giraffe that is being used as extra beds
datasets/midjourney/000066_1.jpg,A giraffe that is being used as extra beds
datasets/midjourney/000066_2.jpg,A giraffe that is being used as extra beds
